9,1,1,1,1,1,1,14,5,5,5,5,13,1,1,1,1,14,5,5,5,5,13,1,1,1,1,1,1,10
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
3,5,5,11,4,4,4,4,4,4,4,4,12,5,5,5,5,11,4,4,4,4,4,4,4,4,12,5,5,2
3,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,2
3,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,2
3,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,2
14,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,13
5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5
5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5
5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5
5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5
12,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,11
3,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,2
3,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,2
3,5,5,2,0,0,0,0,0,0,0,0,3,5,5,5,5,2,0,0,0,0,0,0,0,0,3,5,5,2
3,5,5,13,1,1,1,1,1,1,1,1,14,5,5,5,5,13,1,1,1,1,1,1,1,1,14,5,5,2
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
7,4,4,4,4,4,4,12,5,5,5,5,11,4,4,4,4,12,5,5,5,5,11,4,4,4,4,4,4,8
